"","keyword","date","hits"
"393","i lost my job",2019-10-13,24
"394","i lost my job",2019-10-20,13
"395","i lost my job",2019-10-27,28
"396","i lost my job",2019-11-03,28
"397","i lost my job",2019-11-10,20
"398","i lost my job",2019-11-17,19
"399","i lost my job",2019-11-24,26
"400","i lost my job",2019-12-01,11
"401","i lost my job",2019-12-08,18
"402","i lost my job",2019-12-15,15
"403","i lost my job",2019-12-22,24
"404","i lost my job",2019-12-29,16
"405","i lost my job",2020-01-05,19
"406","i lost my job",2020-01-12,19
"407","i lost my job",2020-01-19,22
"408","i lost my job",2020-01-26,18
"409","i lost my job",2020-02-02,20
"410","i lost my job",2020-02-09,19
"411","i lost my job",2020-02-16,31
"412","i lost my job",2020-02-23,16
"413","i lost my job",2020-03-01,23
"414","i lost my job",2020-03-08,20
"415","i lost my job",2020-03-15,98
"416","i lost my job",2020-03-22,100
"417","i lost my job",2020-03-29,85
"418","i lost my job",2020-04-05,95
"419","i lost my job",2020-04-12,71
"420","i lost my job",2020-04-19,49
"421","laid off",2019-03-03,3
"422","laid off",2019-03-10,3
"423","laid off",2019-03-17,3
"424","laid off",2019-03-24,3
"425","laid off",2019-03-31,3
"426","laid off",2019-04-07,2
"427","laid off",2019-04-14,3
"428","laid off",2019-04-21,2
"429","laid off",2019-04-28,3
"430","laid off",2019-05-05,3
"431","laid off",2019-05-12,2
"432","laid off",2019-05-19,2
"433","laid off",2019-05-26,2
"434","laid off",2019-06-02,3
"435","laid off",2019-06-09,3
"436","laid off",2019-06-16,3
"437","laid off",2019-06-23,2
"438","laid off",2019-06-30,2
"439","laid off",2019-07-07,2
"440","laid off",2019-07-14,2
"441","laid off",2019-07-21,3
"442","laid off",2019-07-28,3
"443","laid off",2019-08-04,2
"444","laid off",2019-08-11,2
"445","laid off",2019-08-18,3
"446","laid off",2019-08-25,2
"447","laid off",2019-09-01,2
"448","laid off",2019-09-08,3
"449","laid off",2019-09-15,3
"450","laid off",2019-09-22,2
"451","laid off",2019-09-29,3
"452","laid off",2019-10-06,3
"453","laid off",2019-10-13,3
"454","laid off",2019-10-20,3
"455","laid off",2019-10-27,3
"456","laid off",2019-11-03,3
"457","laid off",2019-11-10,3
"458","laid off",2019-11-17,3
"459","laid off",2019-11-24,2
"460","laid off",2019-12-01,2
"461","laid off",2019-12-08,3
"462","laid off",2019-12-15,3
"463","laid off",2019-12-22,2
"464","laid off",2019-12-29,2
"465","laid off",2020-01-05,3
"466","laid off",2020-01-12,3
"467","laid off",2020-01-19,3
"468","laid off",2020-01-26,3
"469","laid off",2020-02-02,3
"470","laid off",2020-02-09,4
"471","laid off",2020-02-16,3
"472","laid off",2020-02-23,3
"473","laid off",2020-03-01,3
"474","laid off",2020-03-08,6
"475","laid off",2020-03-15,41
"476","laid off",2020-03-22,51
"477","laid off",2020-03-29,100
"478","laid off",2020-04-05,28
"479","laid off",2020-04-12,24
"480","laid off",2020-04-19,19
"481","furlough",2019-03-03,1
"482","furlough",2019-03-10,1
"483","furlough",2019-03-17,0
"484","furlough",2019-03-24,1
"485","furlough",2019-03-31,1
"486","furlough",2019-04-07,0
"487","furlough",2019-04-14,0
"488","furlough",2019-04-21,0
"489","furlough",2019-04-28,0
"490","furlough",2019-05-05,0
"491","furlough",2019-05-12,1
"492","furlough",2019-05-19,0
"493","furlough",2019-05-26,0
"494","furlough",2019-06-02,0
"495","furlough",2019-06-09,0
"496","furlough",2019-06-16,1
"497","furlough",2019-06-23,1
"498","furlough",2019-06-30,0
"499","furlough",2019-07-07,1
"500","furlough",2019-07-14,0
"501","furlough",2019-07-21,0
"502","furlough",2019-07-28,0
"503","furlough",2019-08-04,0
"504","furlough",2019-08-11,0
"505","furlough",2019-08-18,0
"506","furlough",2019-08-25,0
"507","furlough",2019-09-01,1
"508","furlough",2019-09-08,0
"509","furlough",2019-09-15,1
"510","furlough",2019-09-22,1
"511","furlough",2019-09-29,1
"512","furlough",2019-10-06,0
"513","furlough",2019-10-13,0
"514","furlough",2019-10-20,1
"515","furlough",2019-10-27,1
"516","furlough",2019-11-03,0
"517","furlough",2019-11-10,0
"518","furlough",2019-11-17,1
"519","furlough",2019-11-24,0
"520","furlough",2019-12-01,1
"521","furlough",2019-12-08,1
"522","furlough",2019-12-15,1
"523","furlough",2019-12-22,0
"524","furlough",2019-12-29,0
"525","furlough",2020-01-05,0
"526","furlough",2020-01-12,0
"527","furlough",2020-01-19,0
"528","furlough",2020-01-26,0
"529","furlough",2020-02-02,0
"530","furlough",2020-02-09,0
"531","furlough",2020-02-16,0
"532","furlough",2020-02-23,0
"533","furlough",2020-03-01,1
"534","furlough",2020-03-08,3
"535","furlough",2020-03-15,32
"536","furlough",2020-03-22,52
"537","furlough",2020-03-29,100
"538","furlough",2020-04-05,54
"539","furlough",2020-04-12,45
"540","furlough",2020-04-19,29
"541","loan",2019-03-03,52
"542","loan",2019-03-10,53
"543","loan",2019-03-17,50
"544","loan",2019-03-24,55
"545","loan",2019-03-31,55
"546","loan",2019-04-07,55
"547","loan",2019-04-14,54
"548","loan",2019-04-21,53
"549","loan",2019-04-28,55
"550","loan",2019-05-05,53
"551","loan",2019-05-12,54
"552","loan",2019-05-19,55
"553","loan",2019-05-26,55
"554","loan",2019-06-02,57
"555","loan",2019-06-09,57
"556","loan",2019-06-16,56
"557","loan",2019-06-23,59
"558","loan",2019-06-30,54
"559","loan",2019-07-07,59
"560","loan",2019-07-14,58
"561","loan",2019-07-21,59
"562","loan",2019-07-28,60
"563","loan",2019-08-04,60
"564","loan",2019-08-11,61
"565","loan",2019-08-18,60
"566","loan",2019-08-25,55
"567","loan",2019-09-01,52
"568","loan",2019-09-08,53
"569","loan",2019-09-15,52
"570","loan",2019-09-22,53
"571","loan",2019-09-29,54
"572","loan",2019-10-06,50
"573","loan",2019-10-13,50
"574","loan",2019-10-20,50
"575","loan",2019-10-27,50
"576","loan",2019-11-03,52
"577","loan",2019-11-10,50
"578","loan",2019-11-17,50
"579","loan",2019-11-24,41
"580","loan",2019-12-01,51
"581","loan",2019-12-08,50
"582","loan",2019-12-15,49
"583","loan",2019-12-22,44
"584","loan",2019-12-29,53
"585","loan",2020-01-05,56
"586","loan",2020-01-12,56
"587","loan",2020-01-19,57
"588","loan",2020-01-26,56
"589","loan",2020-02-02,56
"590","loan",2020-02-09,57
"591","loan",2020-02-16,57
"592","loan",2020-02-23,57
"593","loan",2020-03-01,61
"594","loan",2020-03-08,60
"595","loan",2020-03-15,70
"596","loan",2020-03-22,75
"597","loan",2020-03-29,100
"598","loan",2020-04-05,95
"599","loan",2020-04-12,89
"600","loan",2020-04-19,84
"601","depression",2019-03-03,100
"602","depression",2019-03-10,93
"603","depression",2019-03-17,97
"604","depression",2019-03-24,91
"605","depression",2019-03-31,90
"606","depression",2019-04-07,88
"607","depression",2019-04-14,85
"608","depression",2019-04-21,88
"609","depression",2019-04-28,88
"610","depression",2019-05-05,87
"611","depression",2019-05-12,83
"612","depression",2019-05-19,78
"613","depression",2019-05-26,75
"614","depression",2019-06-02,69
"615","depression",2019-06-09,66
"616","depression",2019-06-16,64
"617","depression",2019-06-23,65
"618","depression",2019-06-30,58
"619","depression",2019-07-07,68
"620","depression",2019-07-14,63
"621","depression",2019-07-21,67
"622","depression",2019-07-28,68
"623","depression",2019-08-04,63
"624","depression",2019-08-11,62
"625","depression",2019-08-18,65
"626","depression",2019-08-25,65
"627","depression",2019-09-01,66
"628","depression",2019-09-08,75
"629","depression",2019-09-15,78
"630","depression",2019-09-22,76
"631","depression",2019-09-29,78
"632","depression",2019-10-06,79
"633","depression",2019-10-13,83
"634","depression",2019-10-20,84
"635","depression",2019-10-27,80
"636","depression",2019-11-03,86
"637","depression",2019-11-10,84
"638","depression",2019-11-17,86
"639","depression",2019-11-24,65
"640","depression",2019-12-01,84
"641","depression",2019-12-08,86
"642","depression",2019-12-15,73
"643","depression",2019-12-22,56
"644","depression",2019-12-29,64
"645","depression",2020-01-05,76
"646","depression",2020-01-12,77
"647","depression",2020-01-19,77
"648","depression",2020-01-26,84
"649","depression",2020-02-02,82
"650","depression",2020-02-09,88
"651","depression",2020-02-16,85
"652","depression",2020-02-23,90
"653","depression",2020-03-01,88
"654","depression",2020-03-08,83
"655","depression",2020-03-15,91
"656","depression",2020-03-22,91
"657","depression",2020-03-29,90
"658","depression",2020-04-05,90
"659","depression",2020-04-12,90
"660","depression",2020-04-19,90
"661","panic attack",2019-03-03,71
"662","panic attack",2019-03-10,71
"663","panic attack",2019-03-17,65
"664","panic attack",2019-03-24,69
"665","panic attack",2019-03-31,71
"666","panic attack",2019-04-07,72
"667","panic attack",2019-04-14,72
"668","panic attack",2019-04-21,73
"669","panic attack",2019-04-28,72
"670","panic attack",2019-05-05,74
"671","panic attack",2019-05-12,72
"672","panic attack",2019-05-19,67
"673","panic attack",2019-05-26,73
"674","panic attack",2019-06-02,66
"675","panic attack",2019-06-09,71
"676","panic attack",2019-06-16,68
"677","panic attack",2019-06-23,77
"678","panic attack",2019-06-30,75
"679","panic attack",2019-07-07,73
"680","panic attack",2019-07-14,73
"681","panic attack",2019-07-21,77
"682","panic attack",2019-07-28,79
"683","panic attack",2019-08-04,74
"684","panic attack",2019-08-11,74
"685","panic attack",2019-08-18,78
"686","panic attack",2019-08-25,72
"687","panic attack",2019-09-01,73
"688","panic attack",2019-09-08,73
"689","panic attack",2019-09-15,76
"690","panic attack",2019-09-22,79
"691","panic attack",2019-09-29,81
"692","panic attack",2019-10-06,73
"693","panic attack",2019-10-13,77
"694","panic attack",2019-10-20,80
"695","panic attack",2019-10-27,68
"696","panic attack",2019-11-03,70
"697","panic attack",2019-11-10,77
"698","panic attack",2019-11-17,79
"699","panic attack",2019-11-24,72
"700","panic attack",2019-12-01,76
"701","panic attack",2019-12-08,73
"702","panic attack",2019-12-15,71
"703","panic attack",2019-12-22,71
"704","panic attack",2019-12-29,79
"705","panic attack",2020-01-05,74
"706","panic attack",2020-01-12,71
"707","panic attack",2020-01-19,75
"708","panic attack",2020-01-26,83
"709","panic attack",2020-02-02,75
"710","panic attack",2020-02-09,72
"711","panic attack",2020-02-16,73
"712","panic attack",2020-02-23,80
"713","panic attack",2020-03-01,76
"714","panic attack",2020-03-08,84
"715","panic attack",2020-03-15,86
"716","panic attack",2020-03-22,100
"717","panic attack",2020-03-29,96
"718","panic attack",2020-04-05,96
"719","panic attack",2020-04-12,85
"720","panic attack",2020-04-19,82
"721","loneliness",2019-03-03,63
"722","loneliness",2019-03-10,56
"723","loneliness",2019-03-17,56
"724","loneliness",2019-03-24,62
"725","loneliness",2019-03-31,69
"726","loneliness",2019-04-07,72
"727","loneliness",2019-04-14,58
"728","loneliness",2019-04-21,63
"729","loneliness",2019-04-28,68
"730","loneliness",2019-05-05,62
"731","loneliness",2019-05-12,55
"732","loneliness",2019-05-19,70
"733","loneliness",2019-05-26,52
"734","loneliness",2019-06-02,50
"735","loneliness",2019-06-09,57
"736","loneliness",2019-06-16,49
"737","loneliness",2019-06-23,50
"738","loneliness",2019-06-30,43
"739","loneliness",2019-07-07,54
"740","loneliness",2019-07-14,49
"741","loneliness",2019-07-21,48
"742","loneliness",2019-07-28,40
"743","loneliness",2019-08-04,52
"744","loneliness",2019-08-11,55
"745","loneliness",2019-08-18,46
"746","loneliness",2019-08-25,57
"747","loneliness",2019-09-01,51
"748","loneliness",2019-09-08,50
"749","loneliness",2019-09-15,61
"750","loneliness",2019-09-22,64
"751","loneliness",2019-09-29,61
"752","loneliness",2019-10-06,59
"753","loneliness",2019-10-13,57
"754","loneliness",2019-10-20,69
"755","loneliness",2019-10-27,63
"756","loneliness",2019-11-03,62
"757","loneliness",2019-11-10,67
"758","loneliness",2019-11-17,70
"759","loneliness",2019-11-24,50
"760","loneliness",2019-12-01,68
"761","loneliness",2019-12-08,66
"762","loneliness",2019-12-15,59
"763","loneliness",2019-12-22,53
"764","loneliness",2019-12-29,51
"765","loneliness",2020-01-05,59
"766","loneliness",2020-01-12,54
"767","loneliness",2020-01-19,62
"768","loneliness",2020-01-26,62
"769","loneliness",2020-02-02,67
"770","loneliness",2020-02-09,67
"771","loneliness",2020-02-16,63
"772","loneliness",2020-02-23,81
"773","loneliness",2020-03-01,89
"774","loneliness",2020-03-08,79
"775","loneliness",2020-03-15,68
"776","loneliness",2020-03-22,84
"777","loneliness",2020-03-29,88
"778","loneliness",2020-04-05,100
"779","loneliness",2020-04-12,96
"780","loneliness",2020-04-19,85
"781","anxiety",2019-03-03,99
"782","anxiety",2019-03-10,97
"783","anxiety",2019-03-17,100
"784","anxiety",2019-03-24,100
"785","anxiety",2019-03-31,98
"786","anxiety",2019-04-07,97
"787","anxiety",2019-04-14,95
"788","anxiety",2019-04-21,96
"789","anxiety",2019-04-28,96
"790","anxiety",2019-05-05,95
"791","anxiety",2019-05-12,91
"792","anxiety",2019-05-19,90
"793","anxiety",2019-05-26,87
"794","anxiety",2019-06-02,84
"795","anxiety",2019-06-09,90
"796","anxiety",2019-06-16,89
"797","anxiety",2019-06-23,92
"798","anxiety",2019-06-30,86
"799","anxiety",2019-07-07,93
"800","anxiety",2019-07-14,93
"801","anxiety",2019-07-21,95
"802","anxiety",2019-07-28,93
"803","anxiety",2019-08-04,94
"804","anxiety",2019-08-11,95
"805","anxiety",2019-08-18,93
"806","anxiety",2019-08-25,93
"807","anxiety",2019-09-01,91
"808","anxiety",2019-09-08,93
"809","anxiety",2019-09-15,96
"810","anxiety",2019-09-22,96
"811","anxiety",2019-09-29,99
"812","anxiety",2019-10-06,95
"813","anxiety",2019-10-13,94
"814","anxiety",2019-10-20,96
"815","anxiety",2019-10-27,94
"816","anxiety",2019-11-03,96
"817","anxiety",2019-11-10,94
"818","anxiety",2019-11-17,99
"819","anxiety",2019-11-24,85
"820","anxiety",2019-12-01,92
"821","anxiety",2019-12-08,91
"822","anxiety",2019-12-15,86
"823","anxiety",2019-12-22,77
"824","anxiety",2019-12-29,88
"825","anxiety",2020-01-05,94
"826","anxiety",2020-01-12,94
"827","anxiety",2020-01-19,93
"828","anxiety",2020-01-26,97
"829","anxiety",2020-02-02,94
"830","anxiety",2020-02-09,96
"831","anxiety",2020-02-16,100
"832","anxiety",2020-02-23,98
"833","anxiety",2020-03-01,97
"834","anxiety",2020-03-08,91
"835","anxiety",2020-03-15,87
"836","anxiety",2020-03-22,94
"837","anxiety",2020-03-29,98
"838","anxiety",2020-04-05,94
"839","anxiety",2020-04-12,90
"840","anxiety",2020-04-19,90
